"","V1","Abstract","Unnamed..0","Authors","Quantitative.Data","Theoretical.Model","Empirical.Model","COMMENT..we.also.need.a.column.indicating.if.degrowth.is.used.as.ex.ante.strategy..as.result..low.negative.growth.as.in.Japan..or.otherwise.confusingly.","Volume","Issue"
"1","1","The ecological macroeconomics literature has developed models, which outline the transition from today's growth-dependent economies to post-growth systems where output can be stabilized to limit resource consumption while good living conditions and high employment are ensured. Working time reduction plays a pivotal role in those transitional strategies to relax the trade-off between economic growth and unemployment. This analysis contributes to the research by developing a macroeconomic model where, in contrast to the existing models, a sufficient profit rate is the precondition of any private-sector economic activity. It is shown that under such assumptions working time reduction is not enough to stabilize output but is a threat to macroeconomic stability. To make the post-growth transition successful, working time reduction must go along with supporting economic policies and macroeconomic governance including public investment, which controls the private-sector profit rate to avoid instability and unemployment. ",1,"Oberholzer B.",0,1,0,"","206",""
"39","39","This article establishes a theoretical link between accelerated obsolescence and interpersonal inequality of income and wealth. The author designs a simple stockâflow consistent macroeconomic model and simulates an acceleration of obsolescence in different budget and fiscal policy scenarios. His results show that, despite the increase in revenues generated by extra constrained expenditures and the associated multiplicative effects, the economic consequences of fast obsolescence remain negative. As effective disposable income declines for workers and either decreases less or increases for capitalists, income and wealth inequalities are exacerbated. Hence an acceleration of obsolescence has detrimental effects both on distributive and on environmental grounds. Conversely, in line with the degrowth paradigm, the author shows how slowing down obsolescence may be sensible both socioeconomically and environmentally. It would be beneficial to wage earners while reducing pressures on the environment; the only losers would be profit earners.",39,"Monserand A.",0,1,0,"","19","1"
"198","200","A central task in efforts to identify pathways to ecologically and socially sustainable economies is to reduce inequality and poverty while reducing material consumption, which has recently inspired future post-growth scenarios. We build a model to explore the potential of a universal basic income (UBI) to serve these objectives. Starting from the observation that post-growth trajectories can take very different forms we analyze UBI in two scenarios advanced in the literature. Comparing UBI in a """"""""local self-sufficiency""""""""economy to a UBI in an """"""""automation""""""""economy, we show that although both scenarios satisfy central sustainability criteria, the impact of a UBI would differ greatly between these contexts. Our analysis shows that a UBI is less compatible with a labor-intensive local self-sufficiency economy than a capital-intensive, high tech economy. We conclude that the feasibility and attractiveness of a UBI in a post-growth scenario depends greatly on the specific characteristics of the economy. ",200,"Malmaeus M., Alfredsson E., Birnbaum S.",0,1,0,"UBI looks theoretical","15","1"
"206","208","This paper revisits the von Neumann equilibrium model from a degrowth perspective. Degrowth can be either planned or autonomous based on voluntary simplicity (VS), characterized by voluntary constraints on the private consumptions. Any share of the working population is allowed to limit their private consumptions or ecological footprint. Degrowth means a lower economic growth rate as well as reductions in the usage of materials and fossil energy; however, when the economy cannot fit within the biophysical boundary despite such reductions, degrowth can also mean a deliberate transition towards lesser and cleaner production of a smaller number of goods. Taking ecological boundaries into consideration may thus switch the direction of an economy from growth to degrowth. Degrowth is consistent with economic equilibrium in the dynamic input-output model. Degrowth equilibrium results when a critical mass of the population prioritizes diminishing the ecological deficit over increasing the output levels. Green growth can take place during degrowth. While the economy gradually shrinks, the interest (profit) rate in macroeconomic equilibrium is negative due to the conservation target (excessive consumption has negative value to VS-type agents). Degrowing private consumptions implies less work, more leisure and better quality of the environment, improving social welfare. Degrowth can be advanced by adopting a more cooperative production system or by imposing high ecological taxes. The equilibrium model yields an argument for basic income as a means of supporting welfare during degrowth and of compensating for unpaid work. The open economy version of the model shows reduced scope for intra-industry trade between similar countries. ",208,"Heikkinen T.",0,1,0,"relatively detailed model, unusual for the sample","251",""
"326","330","This paper presents a novel equilibrium framework, allowing for asymmetries in the initial wealth allocations, labour supplies as well as in the preferences of optimizing agents. The framework is applied to study a degrowth society where a subset of agents voluntarily limit their material consumption, thereby complying with voluntary simplicity (VS). At micro-level, the utility-maximization problems of asymmetric agents are formulated and solved for optimal labour supplies. New macro-level equilibrium solutions, accounting for wealth inequality, are presented based on different labour supply models. The equilibrium welfare is measured using a Bernoully-Nash aggregate. An increase in the share of the VS-type agents implies a degrowth transition to a lower level of average consumption. Analysis of the equilibrium framework shows that degrowth, whereby average market-based consumption falls, improves the equilibrium welfare, assuming the VS-type agents have sufficient resources, enabling a reduction in labour supplies. Sharing, collaborative consumption and basic income support welfare-increasing degrowth. Any growing economy can eventually reach the size at which degrowth would improve the welfare. Simulations suggest that degrowth can also yield a Pareto-improvement in welfare. ",330,"Heikkinen T.",0,1,0,"","148",""
"373","377","This paper introduces a natural resource and pollution in a Ramsey growth model which relies on the postulates of ecological economics. It studies the impact of voluntary degrowth policies on production and welfare. The instrument of these policies is a tax on the natural resource. These public policies are implemented after the downturn of the householdsâ welfare following from the increased pollution. Two kinds of policies are considered and rely either on an optimality criterion or on an intergenerational equity criterion. With respect to the laissez-faire case, they decrease both production and pollution but increase welfare. Classes of sustainable degrowth paths characterized by time-constant or time-increasing tax rates are determined. ",377,"Germain M.",0,1,0,"","136",""
"448","452","In this paper, a model of well-being, based on the concepts of sphere of needs and capitals, is proposed and used to investigate the effects of degrowth. Reciprocity work, considered here as an element of degrowth, is introduced into the well-being equation and the effects generated on well-being are investigated. A preliminary analysis demonstrates the lack of formal models of degrowth. This is due to, on one hand, an a priori ideological rejection by degrowth supporters and promoters of any formal framing; on the other to the fact that existing approaches fail, for different reasons, to comprehensively represent the definition of degrowth. The framework adopted is valid and viable and a good starting point for future research and developments. The idea of a formal representation of degrowth so that it could be made a concrete research subjects, is strongly supported.",452,"Andreoni V., Galmarini S.",0,1,0,"","55",""
"482","486","In this paper we contribute to the debate on the relationship between growth and well-being by examining an endogenous growth model where we allow for externalities in consumption, leisure, and production. We analyze three regimes: a decentralized economy where each household makes isolated choices without considering their external effects, a planned economy where a myopic planner fails to recognize both leisure and consumption externalities but recognizes production externalities, and a planned economy with a fully informed planner. We first compare the balanced growth paths under the three regimes and then we numerically investigate the transition to the optimal balanced growth path. We provide a number of findings. First, in a decentralized economy growth or labor (or both) are greater than in the regime with a fully informed planner, and hence are sub-optimal from a welfare standpoint. Second, a myopic intervention which overlooks consumption and leisure externalities leads to more growth and labor than in both the decentralized and the fully informed regime. Third, we provide a case for happy degrowth: a transition to the optimal balanced growth path that is associated with downscaling of production, a reduction in private consumption, and an ongoing increase in leisure and well-being. ",486,"Bilancini E., D'Alessandro S.",0,1,0,"detailed model","84",""
"544","551","This paper studies equilibrium growth and voluntary degrowth, allowing for heterogeneous and time-varying preferences. The approach is based on applying a dynamic equilibrium model with externalities in production, consumption, and leisure. Preference heterogeneity regarding status competition is modeled by asymmetric consumption externality parameters whereas heterogeneity regarding voluntary simplicity is incorporated by allowing for agent-specific restrictions on maximum consumption. Equilibrium is studied in terms of a balanced growth path (BGP). Numerical examples suggest that degrowth triggered by voluntary simplicity by a subset of consumers less affected by status competition has a positive effect on the aggregate welfare under externalities in consumption and leisure. A reduction in status competition increases the aggregate welfare and reduces the equilibrium growth rate. Simulations suggest that a time-varying equilibrium in the heterogeneous preference model with two consumer classes is well approximated by a constant BGP. ",551,"Heikkinen T.",0,1,0,"A Dynamic Equilibrium Model with Heterogeneous Consumers","116",""
