"","vocab_app","sort.freq_vocab..decreasing...TRUE.","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","word_attribute_sorted"
"1","degrowth",465,0.0214531454466253,0.056436893294238,0.00531189138685084,0.0120827374242864,0.0561300596697943,3.9615188194928e-14,0.0188006963285177,0.0319927856731745,0.0645940811360304,0.00864343603603778,0.0265000867635206,9
"2","growth",401,0.0106730151040636,2.78374871264012e-06,0.0294999787109709,0.0206039034743078,0.0258899225354664,0.0873546726214931,0.0119880649611902,0.00346425388043082,0.000435050039677662,0.000543917599032475,0.0228446079592395,6
"3","economic",344,0.00528412704161708,0.00286575471900482,0.0166258085765778,0.00867121351520669,0.0216888058087444,0.0277659944368578,0.00418975775460947,0.00398111924517021,0.00533701816851708,0.0023148673374268,0.0129713014049121,6
"4","social",289,0.00591840635114232,0.010158418841576,0.0100813270152871,0.0192367656682536,0.0110601258236536,0.00899354487670137,0.000524732603563079,0.00420586211465572,0.0189068696163368,0.00150875839537687,6.43096444374322e-07,4
"5","economy",226,0.00117625973869991,0.00204307039634788,0.0196438697363107,0.00392622774743441,0.00808149697745484,0.0139262484813042,0.00524633064878642,0.00233379334888177,0.0049265579842658,0.00125164262933559,0.0065312177078381,3
"6","society",207,0.00609333930822433,0.00440704617277281,0.00334763138075618,0.00848687125380921,0.00619727294005627,0.0038422093273918,0.000586843462450964,0.00701831514932221,0.00890936328883176,0.00610242680405935,1.30157118755572e-05,9
"7","ecological",192,6.05874147021133e-06,0.00496554730000335,0.00524287571015356,0.00530188626603986,0.00029405339772381,0.0121564579028745,0.00726979678042196,3.15451274029795e-05,0.0120891527102807,2.45677826144772e-12,0.00462031201133376,6
"8","environmental",189,0.00180352147645323,0.000586382989356366,0.00323663500070393,0.00176843801617667,0.0179033653273625,0.00231907973127275,0.00213661289899791,0.000436576938519726,0.0106482958851268,0.000810050574079432,0.0024877702613471,5
"9","use",174,0.000795813770186064,0.0045891649953181,0.00498640206165848,0.00556616193709844,0.00940086827188191,3.24790490648694e-06,0.00440430666007114,0.00704930634790281,0.000984047909682912,0.00205314974450667,0.00178768358452483,5
"10","base",173,0.00461035307084997,0.00237968884951531,0.00292775089806847,0.00507263351863591,0.00734460614025022,0.00375861673842139,0.00139369481799241,0.00514010407421916,0.00317870998317755,0.00259554987583451,5.78171944583638e-28,5
"11","alternative",165,0.00034132084107713,0.00330102624878517,0.000511857369661415,0.00144333094981154,0.00337928749950358,0.00907377435521552,0.00137604943742497,0.0110813309780341,0.00353952286575198,0.000992671619627116,0.00200794639451942,8
"12","sustainable",164,0.00171732520929802,0.00169405755557377,0.00365346214954222,0.00165826301095069,0.0185046275742439,0.00326343572426641,0.00119339189973057,0.00562088921566931,0.00102113185705134,0.00198709119002453,0.00299404208519188,5
"13","need",162,0.00363896598470152,0.00270962815410148,0.0114665682387053,0.00591740463483618,0.00181516585795792,0.00143302217198049,0.0058349034733336,0.00321007747294502,0.00366567840734156,0.00457004584697431,0.0045936475605774,3
"14","development",159,0.00308327269984722,0.00188301355333501,0.00106583652440097,0.0029836433649294,0.0103131537298441,0.0171296091786293,0.0033341826466876,0.000849179362471916,1.13201992781613e-10,0.00546824541645416,8.7747845332382e-07,6
"15","argue",156,0.00194630807278432,0.00326131351372668,0.00152792485708623,0.00568503879392993,0.00232561146509234,0.0031323389495677,0.00136309805866472,0.00197020325334722,0.00618684333916455,3.74991585680862e-20,0.00455053175780838,9
"16","political",155,0.000354370138270507,0.0029891986067865,0.0030711266754413,0.00584567682721202,1.06944869653818e-05,0.00943084743125132,0.00215281354538312,0.00046369735000852,0.0102159176065017,0.00108564656971236,0.00816077816116726,9
"17","post",153,0.00602853879034151,1.37037056553507e-17,0.00609571301383081,0.000673449791129452,4.16318546280421e-17,0.0376112505338595,0.000161306017779392,5.76433641544274e-14,2.92204796426602e-06,0.00311075923102971,0.000769327323010858,6
"18","new",149,0.00401438642097424,6.17225769995632e-05,0.00361823324401314,0.00200769727389809,0.00172553785128053,0.00578743377126343,0.00610525688018522,0.0043026522409831,0.00589152664971062,0.00280716122781521,0.00691690192178988,11
"19","approach",147,0.000427965539572288,0.00300937397228027,0.00306276249883809,7.94944183599248e-05,0.00604373734017576,0.00390427510473014,0.00236734473133973,0.00110174640375447,0.00521062906640897,0.00715843285249817,0.000190470322180037,10
"20","article",147,0.00603771077757323,0.00643352888216055,0.000248526068434932,0.00101187120857666,0.00297617124527243,0.00579313395446439,2.98625180200384e-18,0.00293668125023374,0.00563121991949874,0.00100498450430322,0.00120214203875529,2
"21","change",144,0.00257643021741165,0.00635933271172329,0.00257409533530982,0.00445832341854356,0.00505722721010737,0.00286061841812852,0.00417157236852425,0.00128467061021956,0.00296466256528571,0.00204021740751796,0.00306782864191674,2
"22","focus",144,0.00306300918834037,0.00415635121106896,0.00186618485607944,0.000829698987587961,0.00361971107570182,0.00401457651538951,0.00188135438793451,0.00170742461070444,0.00270537514617914,0.00248028441868422,0.0012081926069621,2
"23","within",141,0.000623995461289709,0.00393194944649134,3.70774536987899e-12,0.00143117853167025,0.00476691930871869,0.00410132121923498,0.0053164909057949,0.00212638840103207,0.00325303621130798,0.00654046619557228,0.00410099026902955,10
"24","movement",140,1.44833943404985e-15,5.91111923936552e-22,0.00227794094776124,0.00142503507468506,6.57968560695277e-06,0.000183456203411255,0.0028581556054022,0.00297400952973004,0.0243598638789031,0.00116931817974862,0.00375988262971589,9
"25","policy",138,0.00137000013449271,0.00478398442006492,0.00909435941547747,0.00109750173064958,0.0103552502831594,0.00549402743775455,0.00093986617315116,2.89512983509694e-18,0.000564831918765898,3.07909299926229e-25,0.000790083870418847,5
"26","system",138,0.000725732201641911,0.00410651788533425,0.00908064663152775,0.00400959464758281,0.00312008265458403,0.0050629964463421,0.00448727205780818,0.00199064671993182,0.00208097942458986,0.00338366331810023,0.00395850886137065,3
"27","future",137,0.000908631716864492,0.00327206246352337,0.00131207827002931,0.00149202818449236,0.00230406168955695,0.0037193635668194,0.00480465330994007,0.0115788103764042,0.0017217358281398,0.00344312197371512,0.00302533712521184,8
"28","perspective",137,0.00336521564276841,0.00351639392182098,0.00157678278006048,0.000557864940995673,0.00255427411821942,0.00357444309629427,0.00264904024968898,0.00123999791432823,0.00734368124974009,0.00184811327292298,0.000407097594082263,9
"29","one",136,0.00179320293668601,0.00187924651894159,0.00292838325847201,0.00347542721698986,0.00231951627250933,0.00246361788662601,0.00335102287405016,0.0045009749564427,0.00239918517342643,0.00321542731296493,0.00381620820562585,8
"30","debate",135,0.0041317810648629,0.00381901470661602,0.00144470836666692,0.00185723408197038,0.0044200921659585,0.00520880169118254,0.00165761790131861,0.000484561389178363,0.00344290274895772,0.000308432868876466,0.00480135670401596,6
"31","sustainability",135,0.0019749553601675,0.00788695094494579,0.00354011140414021,0.00108288970878147,0.00981083159109698,0.00178863800577738,0.00172091202386463,0.000215179158042309,0.00243391551165575,0.000625781324924007,0.00124925371340831,5
"32","challenge",134,0.00125825059678465,0.00355538580869788,0.00215781019353958,0.00127279345763029,0.00229570192409953,0.00284532492733592,0.00188047440325725,0.00351608773691432,0.00465792025928091,0.000633496731166842,0.00232022688021284,9
"33","way",132,0.0004301924671543,0.00186857904543655,0.00178939990113511,0.00502800159878648,0.000927598981096643,0.00350424907652857,0.00242980290125108,0.00480813110691465,0.00439476653808823,0.00296598611529455,0.0028209220960489,4
"34","global",129,0.00472813787131117,0.00089231440799254,0.00273816835141455,0.00287678541135965,0.00102628295123607,0.00439246617497014,0.0167658875307265,0.00106116316674528,0.0045805208156749,0.00030776849741111,0.00320848161602879,7
"35","question",129,0.000663764014808004,0.00241983271267648,0.00175909959397616,0.00337214429639103,0.00223043585295601,0.00332388249111654,0.000476055775859989,0.00374367983670971,0.00310655483507909,0.000459562668502514,0.00297663614772603,8
"36","make",128,0.00347926137315512,0.0028133640795249,0.00327944448559663,0.00472619307306952,0.00224153347945486,0.00122138926075436,0.000717327494296125,0.000464017109815564,0.0029933975707036,0.002483030807289,0.00277980650849821,4
"37","present",128,0.000692503193215949,0.00192362207691585,0.000147179250450897,0.000933651160398751,0.00490118260045952,0.0029029670116649,0.0019272072986211,0.00384007196532228,0.00267291330564014,0.00139344648586202,0.00180348190677723,5
"38","concept",123,4.19883657760195e-26,0.0031628918227831,0.00046945405947852,0.00323541022269828,0.00935208957462415,8.10190752533637e-05,0.000552151124579375,0.0013790320276634,0.00601895256520994,0.00162648008811965,5.90907762329492e-14,5
