"","vocab_app",""
"1443","rationality","8"
"1444","read","8"
"1445","record","8"
"1446","redistributive","8"
"1447","relational","8"
"1448","render","8"
"1449","reorient","8"
"1450","repair","8"
"1451","representation","8"
"1452","representative","8"
"1453","resist","8"
"1454","restriction","8"
"1455","revolutionary","8"
"1456","scarce","8"
"1457","sell","8"
"1458","severe","8"
"1459","sharing","8"
"1460","socioeconomic","8"
"1461","sociology","8"
"1462","solar","8"
"1463","speak","8"
"1464","specie","8"
"1465","subsequently","8"
"1466","summarize","8"
"1467","tendency","8"
"1468","theorise","8"
"1469","threaten","8"
"1470","tie","8"
"1471","title","8"
"1472","trap","8"
"1473","treat","8"
"1474","trigger","8"
"1475","unequal","8"
"1476","university","8"
"1477","unsustainability","8"
"1478","usually","8"
"1479","utopia","8"
"1480","viability","8"
"1481","whereas","8"
"1482","widespread","8"
"1483","worldwide","8"
"1484","absolute","7"
"1485","accelerate","7"
"1486","actual","7"
"1487","adaptation","7"
"1488","adequate","7"
"1489","albeit","7"
"1490","america","7"
"1491","amount","7"
"1492","arena","7"
"1493","associated","7"
"1494","authoritarian","7"
"1495","believe","7"
"1496","brazil","7"
"1497","causal","7"
"1498","clean","7"
"1499","club_rome","7"
"1500","collaboration","7"
"1501","commonly","7"
"1502","comparison","7"
"1503","compete","7"
"1504","complementarity","7"
"1505","complementary","7"
"1506","completely","7"
"1507","complexity","7"
"1508","concentrate","7"
"1509","conceptualisation","7"
"1510","conceptually","7"
"1511","consequently","7"
"1512","consistently","7"
"1513","constrain","7"
"1514","contain","7"
"1515","content","7"
"1516","contradictory","7"
"1517","controversial","7"
"1518","converge","7"
"1519","corresponding","7"
"1520","couple","7"
"1521","covid_pandemic","7"
"1522","cuba","7"
"1523","decentralize","7"
"1524","decolonization","7"
"1525","degrow","7"
"1526","deliberate","7"
"1527","deliberative","7"
"1528","destination","7"
"1529","discursive","7"
"1530","discus","7"
"1531","dismiss","7"
"1532","divergence","7"
"1533","dominance","7"
"1534","double","7"
"1535","ecologist","7"
"1536","editorial","7"
"1537","emergency","7"
"1538","emphasise","7"
"1539","english","7"
"1540","enter","7"
"1541","equivalent","7"
"1542","event","7"
"1543","eventually","7"
"1544","exceed","7"
"1545","excessive","7"
"1546","exercise","7"
"1547","expense","7"
"1548","extensive","7"
"1549","extract","7"
"1550","extractive","7"
"1551","fashion","7"
"1552","fix","7"
"1553","forge","7"
"1554","forum","7"
"1555","gather","7"
"1556","grant","7"
"1557","greece","7"
"1558","greenhouse_gas","7"
"1559","half","7"
"1560","hard","7"
"1561","harmful","7"
"1562","historically","7"
"1563","identifies","7"
"1564","implicitly","7"
"1565","indirect","7"
"1566","indispensable","7"
"1567","industrialized","7"
"1568","insist","7"
"1569","intend","7"
"1570","intensity","7"
"1571","intention","7"
"1572","interrogate","7"
"1573","jackson","7"
"1574","left","7"
"1575","lose","7"
"1576","machine","7"
"1577","magnitude","7"
"1578","manufacturing","7"
"1579","map","7"
"1580","margin","7"
"1581","marine","7"
"1582","matrix","7"
"1583","maximum","7"
"1584","meadow","7"
"1585","message","7"
"1586","mid","7"
"1587","million","7"
"1588","minimum","7"
"1589","mining","7"
"1590","modest","7"
"1591","momentum","7"
"1592","motivation","7"
"1593","multidimensional","7"
"1594","neo","7"
"1595","neo_liberal","7"
"1596","never","7"
"1597","notably","7"
"1598","obvious","7"
"1599","ontology","7"
"1600","organisational","7"
"1601","otherwise","7"
"1602","pandemic","7"
"1603","payment","7"
"1604","periphery","7"
"1605","perpetual","7"
"1606","perpetuate","7"
"1607","perspectives","7"
"1608","phase","7"
"1609","piece","7"
"1610","point_departure","7"
"1611","praxis","7"
"1612","predicament","7"
"1613","predominantly","7"
"1614","preserve","7"
"1615","privilege","7"
"1616","probably","7"
"1617","promising","7"
"1618","proportion","7"
"1619","protect","7"
"1620","prove","7"
"1621","realm","7"
"1622","recycle","7"
"1623","redefine","7"
"1624","remove","7"
"1625","renewable","7"
"1626","resolve","7"
"1627","safe","7"
"1628","scholarly","7"
"1629","similarly","7"
"1630","sketch","7"
"1631","slogan","7"
"1632","societies","7"
"1633","somehow","7"
"1634","sort","7"
"1635","spend","7"
"1636","spot","7"
"1637","stage","7"
"1638","stakeholder","7"
"1639","starting_point","7"
"1640","statement","7"
"1641","stay","7"
"1642","stem","7"
"1643","story","7"
"1644","stream","7"
"1645","stress","7"
"1646","strongly","7"
"1647","subordinate","7"
"1648","subsidy","7"
"1649","succeed","7"
"1650","successfully","7"
"1651","supply_chain","7"
"1652","surface","7"
"1653","survive","7"
"1654","temperature","7"
"1655","theorist","7"
"1656","thinker","7"
"1657","thrive","7"
"1658","typical","7"
"1659","undermine","7"
"1660","united_nation","7"
"1661","unpaid","7"
"1662","unplanned","7"
"1663","unprecedented","7"
"1664","urbanisation","7"
"1665","vast","7"
"1666","vibrant","7"
"1667","visible","7"
"1668","working","7"
"1669","worth","7"
"1670","absolute_decoupling","6"
"1671","accessible","6"
"1672","accompany","6"
"1673","achievement","6"
"1674","africa","6"
"1675","agrarian","6"
"1676","alienation","6"
"1677","alongside","6"
"1678","alter","6"
"1679","apparent","6"
"1680","archaeology","6"
"1681","avenue","6"
"1682","balanced","6"
"1683","billion","6"
"1684","birth","6"
"1685","border","6"
"1686","canada","6"
"1687","carefully","6"
"1688","centric","6"
"1689","champion","6"
"1690","circle","6"
"1691","clash","6"
"1692","closely","6"
"1693","co_emission","6"
"1694","communal","6"
"1695","compensate","6"
"1696","competitiveness","6"
"1697","complicate","6"
"1698","confirm","6"
"1699","contingent","6"
"1700","correct","6"
"1701","criticise","6"
"1702","date","6"
"1703","deconstruction","6"
"1704","decoupling","6"
"1705","desired","6"
"1706","determinant","6"
"1707","determination","6"
"1708","difficulty","6"
"1709","diminish","6"
"1710","disagree","6"
"1711","disruption","6"
"1712","division","6"
"1713","driven","6"
"1714","ecuador","6"
"1715","educational","6"
"1716","eliminate","6"
"1717","elsewhere","6"
"1718","emotional","6"
"1719","encompass","6"
"1720","enhance","6"
"1721","entire","6"
"1722","epistemology","6"
"1723","equal","6"
"1724","equitable_downscaling","6"
"1725","estate","6"
"1726","ethos","6"
"1727","everything","6"
"1728","exclude","6"
"1729","exhibit","6"
"1730","existential","6"
"1731","expenditure","6"
"1732","externality","6"
"1733","extreme","6"
"1734","family","6"
"1735","fieldwork","6"
"1736","finding_indicate","6"
"1737","finite_planet","6"
"1738","fossil","6"
"1739","foundational","6"
"1740","fourth","6"
"1741","game","6"
"1742","gear","6"
"1743","globally","6"
"1744","globe","6"
"1745","hinder","6"
"1746","house","6"
"1747","illich","6"
"1748","imagination","6"
"1749","individualism","6"
"1750","infinite","6"
"1751","instability","6"
"1752","intense","6"
"1753","intergenerational","6"
"1754","ipcc","6"
"1755","latin_america","6"
"1756","launch","6"
"1757","leverage","6"
"1758","liberation","6"
"1759","localise","6"
"1760","london","6"
"1761","manager","6"
"1762","manifest","6"
"1763","manufacture","6"
"1764","municipality","6"
"1765","mutual","6"
"1766","neutrality","6"
"1767","nonhuman","6"
"1768","nuclear","6"
"1769","obligation","6"
"1770","observe","6"
"1771","occupy","6"
"1772","ocean","6"
"1773","official","6"
"1774","offset","6"
"1775","ontological","6"
"1776","opening","6"
"1777","oppositional","6"
"1778","opt","6"
"1779","overlook","6"
"1780","panel","6"
"1781","parameter","6"
"1782","partial","6"
"1783","percent","6"
"1784","perception","6"
"1785","permanent","6"
"1786","pioneer","6"
"1787","plea","6"
"1788","pluriversal","6"
"1789","policymakers","6"
"1790","possibly","6"
"1791","postulate","6"
"1792","precondition","6"
"1793","prevention","6"
"1794","producer","6"
"1795","profoundly","6"
"1796","prominence","6"
"1797","prosperity","6"
"1798","provisioning","6"
"1799","psychological","6"
"1800","psychology","6"
"1801","publicly","6"
"1802","race","6"
"1803","regardless","6"
"1804","regulatory","6"
"1805","rent","6"
"1806","required","6"
"1807","revenue","6"
"1808","revisit","6"
"1809","sample","6"
"1810","sdgs","6"
"1811","sea","6"
"1812","sectoral","6"
"1813","sensitive","6"
"1814","settlement","6"
"1815","shareholder","6"
"1816","sharp","6"
"1817","somewhat","6"
"1818","soon","6"
"1819","sovereignty","6"
"1820","st_century","6"
"1821","stable","6"
"1822","stance","6"
"1823","standpoint","6"
"1824","structurally","6"
"1825","subsequent","6"
"1826","subsistence","6"
"1827","suffer","6"
"1828","sustained","6"
"1829","sweden","6"
"1830","synergy","6"
"1831","technocratic","6"
"1832","tell","6"
"1833","th_century","6"
"1834","theoretically","6"
"1835","thorough","6"
"1836","thousand","6"
"1837","threshold","6"
"1838","transaction","6"
"1839","transcend","6"
"1840","travel","6"
"1841","true","6"
"1842","trust","6"
"1843","twenty","6"
"1844","ultimate","6"
"1845","undesirable","6"
"1846","unemployment","6"
"1847","unfold","6"
"1848","union","6"
"1849","unlikely","6"
"1850","unlimited","6"
"1851","village","6"
"1852","violence","6"
"1853","wait","6"
"1854","warn","6"
"1855","weak","6"
"1856","whereby","6"
"1857","white","6"
"1858","working_hour","6"
"1859","wrong","6"
"1860","zone","6"
"1861","absolutely","5"
"1862","academia","5"
"1863","acceptable","5"
"1864","additional","5"
"1865","adoption","5"
"1866","advocacy","5"
"1867","afford","5"
"1868","african","5"
"1869","air","5"
"1870","alienate","5"
"1871","alignment","5"
"1872","ambition","5"
"1873","amongst","5"
"1874","annual","5"
"1875","anthropogenic","5"
"1876","anthropological","5"
"1877","anthropology","5"
"1878","anti_colonial","5"
"1879","anticipate","5"
"1880","apolitical","5"
"1881","appropriation","5"
"1882","arrive","5"
"1883","atmosphere","5"
"1884","attribute","5"
"1885","backdrop","5"
"1886","ban","5"
"1887","bank","5"
"1888","basically","5"
"1889","behavior","5"
"1890","belong","5"
"1891","bhutan","5"
"1892","bias","5"
"1893","biosphere","5"
"1894","bit","5"
"1895","block","5"
"1896","budget","5"
"1897","campaign","5"
"1898","canadian","5"
"1899","cap","5"
"1900","capitalistic","5"
"1901","car","5"
"1902","carbon_dioxide","5"
"1903","careful","5"
"1904","caring","5"
"1905","castoriadis","5"
"1906","catch","5"
"1907","challenging","5"
"1908","child","5"
"1909","circularity","5"
"1910","cluster","5"
"1911","co_optation","5"
"1912","coastal","5"
"1913","cohousing","5"
"1914","comparative","5"
"1915","compel","5"
"1916","comprise","5"
"1917","conflate","5"
"1918","consolidate","5"
"1919","constructive","5"
"1920","contest","5"
"1921","contested","5"
"1922","correspond","5"
"1923","database","5"
"1924","decarbonization","5"
"1925","declaration","5"
"1926","deconstruct","5"
"1927","deem","5"
"1928","degrowing","5"
"1929","degrowthers","5"
"1930","dematerialize","5"
"1931","democratically","5"
"1932","deny","5"
"1933","depict","5"
"1934","depletion","5"
"1935","deploy","5"
"1936","depression","5"
"1937","description","5"
"1938","destroy","5"
"1939","detailed","5"
"1940","dichotomy","5"
"1941","diet","5"
"1942","differently","5"
"1943","dilemma","5"
"1944","dismantle","5"
"1945","display","5"
"1946","disposal","5"
"1947","dramatically","5"
"1948","east","5"
"1949","easy","5"
"1950","ecomodernist","5"
"1951","ecosocial","5"
"1952","election","5"
"1953","emotion","5"
"1954","empower","5"
"1955","encounter","5"
"1956","enormous","5"
"1957","entity","5"
"1958","entrepreneur","5"
"1959","envisage","5"
"1960","epistemic","5"
"1961","escape","5"
"1962","essence","5"
"1963","estimate","5"
"1964","excess","5"
"1965","exclusively","5"
"1966","expensive","5"
"1967","experimental","5"
"1968","experimentation","5"
"1969","explanation","5"
"1970","exploratory","5"
"1971","extension","5"
"1972","eye","5"
"1973","failing","5"
"1974","fee","5"
"1975","feminism","5"
"1976","fertile","5"
"1977","fiction","5"
"1978","financing","5"
"1979","fiscal","5"
"1980","fishery","5"
"1981","flexible","5"
"1982","flourish","5"
"1983","formation","5"
"1984","formulation","5"
"1985","found","5"
"1986","fruitful","5"
"1987","functioning","5"
"1988","fund","5"
"1989","funding","5"
"1990","gain_traction","5"
"1991","genuine","5"
"1992","geo","5"
"1993","georgescu_roegen","5"
"1994","ghg_emission","5"
"1995","grand","5"
"1996","grasp","5"
"1997","greatly","5"
"1998","greek","5"
"1999","guarantee","5"
"2000","guidance","5"
"2001","habit","5"
"2002","hall","5"
"2003","hardly","5"
"2004","harness","5"
"2005","heterogeneous","5"
"2006","hidden","5"
"2007","hint","5"
"2008","hitherto","5"
"2009","huber","5"
"2010","huge","5"
"2011","implicit","5"
"2012","incentive","5"
"2013","induce","5"
"2014","inevitably","5"
"2015","inhabitant","5"
"2016","inner","5"
"2017","input_output","5"
"2018","inquiry","5"
"2019","instrumental","5"
"2020","integrity","5"
"2021","intensify","5"
"2022","inter","5"
"2023","interpretative","5"
"2024","interrelated","5"
"2025","landscape","5"
"2026","learning","5"
"2027","lived","5"
"2028","localism","5"
"2029","location","5"
"2030","lock","5"
"2031","mapping","5"
"2032","maritime","5"
"2033","mark","5"
"2034","materialist","5"
"2035","maximize","5"
"2036","meat","5"
"2037","mexico","5"
"2038","mission","5"
"2039","mix","5"
"2040","mixed","5"
"2041","modernization","5"
"2042","mutually","5"
"2043","nationally","5"
"2044","naturally","5"
"2045","neighbourhood","5"
"2046","neoclassical","5"
"2047","neutral","5"
"2048","niche","5"
"2049","nonetheless","5"
"2050","online","5"
"2051","opinion","5"
"2052","opposition","5"
"2053","overarch","5"
"2054","parallel","5"
"2055","paris_agreement","5"
"2056","part_parcel","5"
"2057","partly","5"
"2058","performance","5"
"2059","persistent","5"
"2060","philosophical","5"
"2061","pillar","5"
"2062","pitfall","5"
"2063","pivotal","5"
"2064","politicize","5"
"2065","pragmatic","5"
"2066","prediction","5"
"2067","prefigurative","5"
"2068","prepare","5"
"2069","prevalence","5"
"2070","pricing","5"
"2071","primacy","5"
"2072","procedure","5"
"2073","profile","5"
"2074","prosperous","5"
"2075","racism","5"
"2076","ratio","5"
"2077","realisation","5"
"2078","reconsideration","5"
"2079","redistribute","5"
"2080","renew","5"
"2081","renewal","5"
"2082","reserve","5"
"2083","reshape","5"
"2084","respectively","5"
"2085","restrict","5"
"2086","retain","5"
"2087","right_wing","5"
"2088","road","5"
"2089","robbins","5"
"2090","room","5"
"2091","sacrifice","5"
"2092","satisfy","5"
"2093","scrutinize","5"
"2094","scrutiny","5"
"2095","select","5"
"2096","shed","5"
"2097","shock","5"
"2098","shortcoming","5"
"2099","similarity","5"
"2100","six","5"
"2101","speaking","5"
"2102","spring","5"
"2103","squat","5"
"2104","stabilize","5"
"2105","status_quo","5"
"2106","stock_flow","5"
"2107","substantive","5"
"2108","sustainably","5"
"2109","sympathetic","5"
"2110","synthesis","5"
"2111","talk","5"
"2112","territorial","5"
"2113","thematic","5"
"2114","timely","5"
"2115","track","5"
"2116","transfer","5"
"2117","transitional","5"
"2118","transnational","5"
"2119","underline","5"
"2120","underpinnings","5"
"2121","unlike","5"
"2122","unlock","5"
"2123","urbanism","5"
"2124","urbanization","5"
"2125","utilize","5"
"2126","variable","5"
"2127","vulnerability","5"
"2128","absorb","4"
"2129","abundant","4"
"2130","acceptance","4"
"2131","accessibility","4"
"2132","accomplish","4"
"2133","accounting","4"
"2134","addict","4"
"2135","adequately","4"
"2136","administration","4"
"2137","affirm","4"
"2138","affordable","4"
"2139","agrowth","4"
"2140","aid","4"
"2141","alier","4"
"2142","altogether","4"
"2143","ambiguous","4"
"2144","amsterdam","4"
"2145","analogy","4"
"2146","ancient","4"
"2147","anthropocentric","4"
"2148","anything","4"
"2149","apparently","4"
"2150","appreciate","4"
"2151","archaeological","4"
"2152","archaeologist","4"
"2153","argues","4"
"2154","argumentative","4"
"2155","articulation","4"
"2156","ascribe","4"
"2157","aside","4"
"2158","aspire","4"
"2159","attack","4"
"2160","attain","4"
"2161","attend","4"
"2162","attract","4"
"2163","audience","4"
"2164","beginning","4"
"2165","besides","4"
"2166","better","4"
"2167","binary","4"
"2168","bioeconomy","4"
"2169","black","4"
"2170","borrow","4"
"2171","british","4"
"2172","bundle","4"
"2173","buzzword","4"
"2174","calculate","4"
"2175","career","4"
"2176","carve","4"
"2177","catalan","4"
"2178","catalonia","4"
"2179","ceiling","4"
"2180","celebrate","4"
"2181","chain","4"
"2182","charge","4"
"2183","chart","4"
"2184","cheap","4"
"2185","chiapas","4"
"2186","circumstance","4"
"2187","civilisation","4"
"2188","closer","4"
"2189","closure","4"
"2190","coal","4"
"2191","collect","4"
"2192","combined","4"
"2193","comfort","4"
"2194","commission","4"
"2195","commit","4"
"2196","communist","4"
"2197","comprehensively","4"
"2198","con","4"
"2199","conceivable","4"
"2200","connotation","4"
"2201","consent","4"
"2202","constellation","4"
"2203","constitutive","4"
"2204","consumerist","4"
"2205","contentious","4"
"2206","continual","4"
"2207","continuation","4"
"2208","continued","4"
"2209","contract","4"
"2210","contradict","4"
"2211","contributes","4"
"2212","controversy","4"
"2213","coordinate","4"
"2214","cornelius","4"
"2215","cosmopolitan","4"
"2216","court","4"
"2217","culturally","4"
"2218","daly","4"
"2219","damaging","4"
"2220","danger","4"
"2221","death","4"
"2222","decarbonisation","4"
"2223","declare","4"
"2224","defender","4"
"2225","defense","4"
"2226","democratization","4"
"2227","depart","4"
"2228","deployment","4"
"2229","deregulation","4"
"2230","descent","4"
"2231","deserve","4"
"2232","developer","4"
"2233","diagnosis","4"
"2234","die","4"
"2235","differ","4"
"2236","diffuse","4"
"2237","disciplinary","4"
"2238","discrepancy","4"
"2239","disease","4"
"2240","disobedience","4"
"2241","displace","4"
"2242","dispute","4"
"2243","disrupt","4"
"2244","disruptive","4"
"2245","distance","4"
"2246","distributed","4"
"2247","distributional","4"
"2248","diverge","4"
"2249","domain","4"
"2250","doubt","4"
"2251","downturn","4"
"2252","dream","4"
"2253","driving","4"
"2254","dwelling","4"
"2255","eastern","4"
"2256","echo","4"
"2257","ecomodernism","4"
"2258","economies","4"
"2259","ecosocialist","4"
"2260","edge","4"
"2261","elicit","4"
"2262","empowerment","4"
"2263","enact","4"
"2264","enclosure","4"
"2265","energetic","4"
"2266","engender","4"
"2267","engineering","4"
"2268","england","4"
"2269","enjoy","4"
"2270","enlightenment","4"
"2271","enthusiasm","4"
"2272","entirely","4"
"2273","entropy","4"
"2274","erode","4"
"2275","escobar","4"
"2276","eternal","4"
"2277","everingham","4"
"2278","excellent","4"
"2279","exception","4"
"2280","exhaustion","4"
"2281","expert","4"
"2282","extended","4"
"2283","extinction","4"
"2284","fairly","4"
"2285","farm","4"
"2286","felt","4"
"2287","fill","4"
"2288","firstly","4"
"2289","focal","4"
"2290","forest","4"
"2291","freely","4"
"2292","frugality","4"
"2293","gendered","4"
"2294","geographer","4"
"2295","globalisation","4"
"2296","gramsci","4"
"2297","gramscian","4"
"2298","habitat","4"
"2299","halt","4"
"2300","head","4"
"2301","healthcare","4"
"2302","heart","4"
"2303","heavily","4"
"2304","heavy","4"
"2305","herman_daly","4"
"2306","heterodox","4"
"2307","heterogeneity","4"
"2308","higgins_desbiolles","4"
"2309","horizon","4"
"2310","horizontal","4"
"2311","host","4"
"2312","humane","4"
"2313","hunger","4"
"2314","identification","4"
"2315","imagined","4"
"2316","immediate","4"
"2317","incompatibility","4"
"2318","incumbent","4"
"2319","independence","4"
"2320","index","4"
"2321","induced","4"
"2322","industrialization","4"
"2323","inequitable","4"
"2324","inevitability","4"
"2325","inflation","4"
"2326","influential","4"
"2327","inhabit","4"
"2328","insofar","4"
"2329","interact","4"
"2330","interdependency","4"
"2331","intergovernmental","4"
"2332","interlinked","4"
"2333","internet","4"
"2334","intrinsic","4"
"2335","investor","4"
"2336","invisible","4"
"2337","invite","4"
"2338","involvement","4"
"2339","isolation","4"
"2340","ivan_illich","4"
"2341","john","4"
"2342","judge","4"
"2343","keynesian","4"
"2344","laboratory","4"
"2345","leadership","4"
"2346","legitimacy","4"
"2347","liberal_democracy","4"
"2348","limitless","4"
"2349","linear","4"
"2350","linkage","4"
"2351","loan","4"
"2352","localisation","4"
"2353","logical","4"
"2354","loop","4"
"2355","loser","4"
"2356","loss_biodiversity","4"
"2357","low_tech","4"
"2358","magazine","4"
"2359","man","4"
"2360","marginalize","4"
"2361","maximization","4"
"2362","mediate","4"
"2363","medical","4"
"2364","mental","4"
"2365","mentality","4"
"2366","merit","4"
"2367","meta","4"
"2368","metal","4"
"2369","metropolitan","4"
"2370","mindset","4"
"2371","mineral","4"
"2372","mistake","4"
"2373","mobilization","4"
"2374","moderate","4"
"2375","modernist","4"
"2376","modify","4"
"2377","moment","4"
"2378","month","4"
"2379","mount","4"
"2380","municipal","4"
"2381","navigate","4"
"2382","near","4"
"2383","nearly","4"
"2384","negotiate","4"
"2385","neo_liberalism","4"
"2386","nicholas_georgescu","4"
"2387","normal","4"
"2388","obsolescence","4"
"2389","occurrence","4"
"2390","offering","4"
"2391","offs","4"
"2392","optimal","4"
"2393","organic","4"
"2394","originality","4"
"2395","oslo","4"
"2396","pace","4"
"2397","package","4"
"2398","paradoxical","4"
"2399","pass","4"
"2400","peace","4"
"2401","peak","4"
"2402","pedagogy","4"
"2403","pension","4"
"2404","persist","4"
"2405","persistence","4"
"2406","person","4"
"2407","pessimistic","4"
"2408","peter","4"
"2409","picture","4"
"2410","pleasure","4"
"2411","polanyian","4"
"2412","politicise","4"
"2413","pool","4"
"2414","popularity","4"
"2415","postcolonial","4"
"2416","precarious","4"
"2417","prefigure","4"
"2418","presentation","4"
"2419","preservation","4"
"2420","press","4"
"2421","prevail","4"
"2422","proactive","4"
"2423","proceeds","4"
"2424","propel","4"
"2425","questioning","4"
"2426","rare","4"
"2427","realise","4"
"2428","realistic","4"
"2429","realization","4"
"2430","rebuild","4"
"2431","reclaim","4"
"2432","recommendation","4"
"2433","reconceptualization","4"
"2434","reconfiguration","4"
"2435","recovery","4"
"2436","redefinition","4"
"2437","refers","4"
"2438","reframing","4"
"2439","regenerate","4"
"2440","regulate","4"
"2441","reinvent","4"
"2442","relentless","4"
"2443","reliance","4"
"2444","religion","4"
"2445","remind","4"
"2446","remote","4"
"2447","renewables","4"
"2448","reorientation","4"
"2449","residential","4"
"2450","respective","4"
"2451","reuse","4"
"2452","reveals","4"
"2453","revival","4"
"2454","rhetoric","4"
"2455","ring","4"
"2456","robert","4"
"2457","roegen","4"
"2458","route","4"
"2459","safety","4"
"2460","saving","4"
"2461","scalar","4"
"2462","sceptical","4"
"2463","sdg","4"
"2464","secular_stagnation","4"
"2465","seemingly","4"
"2466","selection","4"
"2467","self_limitation","4"
"2468","separation","4"
"2469","shifting","4"
"2470","sign","4"
"2471","significance","4"
"2472","simplicity","4"
"2473","simulation","4"
"2474","sink","4"
"2475","sit","4"
"2476","smart","4"
"2477","smith","4"
"2478","sobriety","4"
"2479","sociological","4"
"2480","spark","4"
"2481","specify","4"
"2482","spectrum","4"
"2483","speed","4"
"2484","storage","4"
"2485","strain","4"
"2486","strategies","4"
"2487","street","4"
"2488","student","4"
"2489","subjective","4"
"2490","sufficiently","4"
"2491","suit","4"
"2492","sum","4"
"2493","supplement","4"
"2494","supporter","4"
"2495","suppose","4"
"2496","syndrome","4"
"2497","teacher","4"
"2498","temporary","4"
"2499","ten","4"
"2500","theorize","4"
"2501","thread","4"
"2502","tim","4"
"2503","toll","4"
"2504","translation","4"
"2505","trouble","4"
"2506","truth","4"
"2507","turner","4"
"2508","unconditional","4"
"2509","uncover","4"
"2510","underdeveloped","4"
"2511","undertake","4"
"2512","uneven","4"
"2513","unexplored","4"
"2514","unfortunately","4"
"2515","uptake","4"
"2516","urgency","4"
"2517","valuation","4"
"2518","variant","4"
"2519","vary","4"
"2520","vice","4"
"2521","victor","4"
"2522","vienna","4"
"2523","viewpoint","4"
"2524","wake","4"
"2525","warming","4"
"2526","weakness","4"
"2527","web","4"
"2528","west","4"
"2529","willing","4"
"2530","wind","4"
"2531","winner","4"
"2532","worthy","4"
"2533","writing","4"
"2534","year_ago","4"
"2535","yield","4"
"2536","young","4"
"2537","zorzin","4"
